word,meaning,pronunciation,syllables,partOfSpeech,example,sentence
extensive,The company conducted an extensive survey on customer needs.,ik-ˈsten(t)-siv,ex-ten-sive,ex- + tens / tend / 밖으로 + 뻗다,'extensive'는 물리적인 공간이 '매우 넓은' 또는 지식이나 영향력의 범위가 '광범위한' 상태를 묘사하는 형용사입니다.,We ordered some ____ chairs for the meeting room.
extra,Please pay an extra fee for late registration.,ˈek-strə,ex-tra,extra / 바깥,'extra'는 정해진 것 외에 '추가적인' 또는 필요 이상으로 '여분의'라는 의미를 가진 형용사입니다.,I’m not ____ with this new software yet.
familiar,I’m not familiar topic with this topic.,fəˈmɪljər,fa-mil-iar,famil / 가족,"'familiar'는 자주 보거나 들어서 잘 알고 있는, 즉 '익숙한' 또는 '낯익은' 대상을 묘사하는 형용사입니다. 'be familiar with ~' 형태로 '~에 대해 잘 알다'라고 쓰입니다.",Paris is ____ for its art museums and fine dining.
famous,Paris is a famous city for art and fashion.,ˈfā-məs,fa-mous,fam / 말하다,"'famous'는 많은 사람들이 알고 있는, 즉 '유명한'이라는 의미의 형용사입니다.",The proposal received a ____ review from the board.
favorable,We received a favorable response from the clients.,ˈfā-v(ə-)rə-bəl,fa-vor-able,favor / 호의,"'favorable' 또는 'favourable'은 어떤 계획이나 사람에 대해 긍정적으로 생각하는 '호의적인' 태도나, 상황이 목적 달성에 '유리한' 경우를 묘사하는 형용사입니다.",It is not ____ to finish the construction within a week.
feasible,The engineer proposed a feasible solution to the problem.,ˈfē-zə-bəl,fea-si-ble,fac / fic / fect / 만들다,'feasible'은 어떤 계획이나 아이디어가 실제로 '실행 가능한' 또는 '실현 가능한'이라는 의미의 형용사입니다.,The project is supported by the ____ government.
federal,The federal government announced a new policy.,ˈfe-d(ə-)rəl,fed-er-al,"foedus / 계약, 동맹","'federal'은 여러 주(state)가 연합하여 이루어진 국가의 중앙 정부, 즉 '연방 정부의'라는 의미를 가진 형용사입니다.",The company’s ____ report will be released next week.
fiscal,The company reported high profits this fiscal year.,ˈfi-skəl,fis-cal,"fisc / 국고, 재정","'fiscal'은 정부의 세금, 부채, 지출 등과 관련된 '재정의' 또는 '회계의'라는 의미를 가진 형용사입니다. (예: fiscal year - 회계 연도)",Our rent is ____ for the next three years.
fixed,We have a fixed schedule for this week.,ˈfikst,fixed,fix / 고정하다,"'fixed'는 움직이거나 변하지 않도록 '고정된' 가격, 날짜, 위치 등을 묘사하는 형용사입니다.",We have ____ working hours for all employees.
flexible,Our company offers flexible working hours.,ˈflek-sə-bəl,flex-i-ble,flex / 구부리다,"'flexible'은 쉽게 구부러지는 '유연한' 성질과, 상황 변화에 쉽게 적응할 수 있는 '융통성 있는' 태도를 모두 묘사합니다.",Please use ____ language when writing to clients.
formal,Please wear formal attire to the ceremony.,ˈfȯr-məl,for-mal,form / 형태,"'formal'은 정해진 규칙과 절차를 따르는 '공식적인' 행사나, 예의를 갖추어야 하는 '격식 있는' 상황을 묘사하는 형용사입니다.",Be careful with those plates; they are very ____.
fragile,This box contains fragile items. Handle with care.,ˈfra-jəl,frag-ile,frag / fract / 부수다,"'fragile'은 물리적인 충격에 쉽게 부서지거나 손상되는, 즉 '깨지기 쉬운' 물건을 묘사하는 형용사입니다.",Let’s collect ____ data before making a final decision.
further,We need further discussion on this issue.,ˈfər-t͟hər,fur-ther,fore / forth / 앞으로,"'further'는 '더 멀리'라는 거리의 의미와, '더 심화하여', '더 나아가'라는 정도의 의미를 가진 부사이며, '추가적인'이라는 의미의 형용사로도 쓰입니다.",He gave a ____ summary of the new marketing plan.
general,The general opinion was positive.,ˈjen-rəl,gen-er-al,"gen / 발생시키다, 종류","'general'은 특정한 것에 국한되지 않고 대부분의 사람이나 사물에 적용되는, 즉 '일반적인' 또는 '전반적인'이라는 의미의 형용사입니다.",She is a ____ supporter of environmental protection.
genuine,She gave me a genuine smile of appreciation.,ˈjen-yə-wən,gen-u-ine,"gen / 태생, 본래","'genuine'은 위조품이 아닌 '진짜의'라는 의미와, 감정이나 사람이 꾸밈없이 '진실한'이라는 두 가지 의미로 사용됩니다.",We are ____ to hear about your successful results.
glad,I’m glad news to hear your good news.,ˈglad,glad,게르만어 glædaz / 밝은,'glad'는 어떤 일에 대해 만족스럽고 '기쁜' 감정을 나타내는 형용사입니다. 'happy'와 유사한 의미입니다.,The company is showing ____ interest in global expansion.
growing,There is a growing demand for electric cars.,ˈgrō-iŋ,grow-ing,grow / 자라다,"'growing'은 수나 양이 점점 '커지는', '증가하는' 또는 중요성이 '부상하는' 상태를 나타내는 형용사입니다.",Your performance has improved at a ____ pace this year.
