word,meaning,pronunciation,syllables,partOfSpeech,example,sentence
encourage,The teacher encouraged students to participate.,in-ˈkər-ij,en-cour-age,목적어 + to부정사 목적보어 자주.,encourage'는 (어떤 행동을 하도록) '용기를 주거나' '하도록 권장/장려한다'는 의미의 동사입니다.\r\n The company encourages employees to take training courses.,Parents should ____ children to read more.
enhance,The policy enhanced efficiency.,in-ˈhan(t)s,en-hance,타동사. 수동형 가능.,"enhance'는 (이미 좋은 것을) '더 좋게' 만들거나 (가치, 품질, 매력 등을) '향상시킨다'는 의미의 동사입니다.\r\n We need to enhance the security features of our website.",New tools can ____ work efficiency.
enlarge,They enlarged the image. / The company enlarged rapidly.,in-ˈlärj,en-large,타/자동사 모두 가능.,enlarge'는 (규모나 크기를) '더 크게' 만들거나 '확대한다'는 의미의 동사입니다.\r\n The company plans to enlarge its production facility next year.,They plan to ____ the office space next year.
enroll,She enrolled in the class. / The school enrolled 200 students in the program.,in-ˈrōl,en-roll,자동/타동 모두 가능. in + 과정.,"enroll'은 (강좌, 프로그램, 학교 등에) '이름을 올리거나' '등록한다'는 의미의 동사입니다.\r\n You can enroll in the workshop by visiting our website.",You can ____ in the evening class online.
entertain,The host entertained the guests.,ˌen-tər-ˈtān,en-ter-tain,타동사. 수동형 빈출.,entertain'은 (특히 비즈니스 관련 손님을) '즐겁게' 해주거나 '접대한다'는 의미의 동사입니다.\r\n We need to book a suitable restaurant to entertain our clients.,The show aims to ____ and educate the audience.
entrust,She entrusted him with the documents.,in-ˈtrəst,en-trust,사람+with / 사물+to 구조 구분 필수.,entrust'는 (중요한 일이나 책임을) (신뢰하는 사람에게) '맡긴다'는 의미의 동사입니다.\r\n The manager entrusted her assistant with the important task.,We will ____ him with this important task.
equip,The lab was equipped with new instruments.,i-ˈkwip,equip,수동형 빈출. with + 장비.,equip'는 (어떤 목적에 필요한) '장비나 물품을 제공하거나' '갖춘다'는 의미의 동사입니다. (주로 'be equipped with' 형태로 쓰임)\r\n The new office rooms are equipped with the latest technology.,All rooms are ____ with air conditioning.
establish,They established a new branch.,i-ˈsta-blish,es-tab-lish,타동사. 제도·조직·사실에 자주.,"establish'는 (회사, 조직, 제도, 명성 등을) '만들거나' '확고히' 한다는 의미의 동사입니다.\r\n Our goal is to establish a strong presence in the Asian market.",They plan to ____ a new branch in Busan.
estimate,They estimated that costs would rise.,ˈe-stə-ˌmāt,es-ti-mate,타동사. 수동형 가능.,"estimate'는 (가치, 비용, 수량 등을) '어림잡아 계산'하거나 '추정한다'는 의미의 동사입니다.\r\n We need to estimate the total cost of the project.",We can’t ____ the total cost yet.
evaluate,The committee evaluated the proposal.,i-ˈval-yə-ˌwāt,eval-u-ate,타동사. 목적어는 ‘계획·성과’.,"evaluate'는 (어떤 것의 가치, 품질, 성과 등을) '판단'하거나 '평가한다'는 의미의 동사입니다.\r\n We will evaluate each candidate's performance during the interview.",The team will ____ the results next week.
exceed,Profits exceeded expectations.,ik-ˈsēd,ex-ceed,타동사. 전치사 불필요 (X exceed than).,"exceed'는 (특정 수량, 한도, 기대를) '넘어서거나' '초과한다'는 의미의 동사입니다.\r\n Total sales for this quarter exceeded our expectations.",Your performance will ____ our expectations.
excel,She excels in mathematics.,ik-ˈsel,ex-cel,자동사 + in/at. 수동 불가.,excel'은 (특정 분야나 활동에서) '남보다 뛰어나거나' '탁월한' 능력을 보인다는 의미의 동사입니다.\r\n Ms. Kim excels at finding creative solutions to problems.,She hopes to ____ in her new position.
excuse,Please excuse me for being late.,ik-ˈskyüz,ex-cuse,타동사. for + 이유.,"excuse'는 (사소한 잘못이나 결례, 결석 등을) '이해'하고 '넘어가 준다'는 의미의 동사입니다.\r\n Please excuse Mr. Smith's absence; he is attending an urgent meeting.",Please ____ me for being late.
execute,The company executed the plan efficiently.,ˈek-si-ˌkyüt,ex-e-cute,타동사. ‘계획·명령’ 목적어.,"execute'는 (계획, 명령, 업무 등을) '계획대로' '실행'하거나 '수행한다'는 의미의 동사입니다.\r\n The team successfully executed the marketing plan.",He will ____ the plan as scheduled.
exempt,He was exempted from taxes.,ig-ˈzem(p)t,ex-empt,수동형 자주. from + 면제 대상.,"exempt'는 (법적 의무, 규칙, 세금 등으로부터) '면제'된다는 의미의 형용사입니다.\r\n Non-profit organizations are exempt from paying taxes.",Part-time workers are ____ from this policy.
exercise,You should exercise caution.,ˈek-sər-ˌsīz,ex-er-cise,"타동사(권한), 자동사(운동).","exercise'는 (운동)이라는 뜻 외에, (권한, 권리, 주의력 등을) '사용'하거나 '발휘한다'는 의미의 동사로도 쓰입니다.\r\n Managers must exercise caution when handling sensitive client data.",Try to ____ regularly to stay healthy.
exhibit,The museum exhibited modern art.,ig-ˈzi-bət,ex-hib-it,타동사. 수동형 가능.,"exhibit'는 (상품, 예술품 등을) (공개적인 장소에서) '보여주거나' '전시한다'는 의미의 동사입니다.\r\n The company will exhibit its new products at the trade show.",The museum will ____ a new art collection.
expand,The company expanded rapidly. / They expanded operations.,ik-ˈspand,ex-pand,자동/타동 모두 가능.,"expand'는 (사업, 규모, 시장 등을) '더 크게' 만들거나 '확장한다'는 의미의 동사입니다.\r\n We are planning to expand our business into international markets.",Our company hopes to ____ into new markets.
expedite,We need to expedite the process.,ˈek-spə-ˌdīt,ex-pe-dite,타동사. 비즈니스 문서 자주.,expedite'는 (어떤 과정이나 일의 진행을) '더 빠르게' 만들거나 '신속히 처리한다'는 의미의 동사입니다.\r\n We paid an extra fee to expedite the shipping of our order.,We need to ____ the process to meet the deadline.
experiment,The team experimented with new materials.,ik-ˈsper-ə-mənt,ex-per-i-ment,자동사 + with/on. 수동 불가.,experiment'는 (새로운 아이디어나 방법의 효과를 알아보기 위한) '시험'이나 '실험'을 의미하는 명사입니다.\r\n The marketing team is conducting an experiment with social media ads.,The team will ____ with a new design model.
expire,The contract expired last month.,ik-ˈspī(-ə)r,ex-pire,자동사. 수동 불가.,expire'는 (정해진 기간이나 유효 기한이) '끝나거나' '만료된다'는 의미의 동사입니다.\r\n My current employment contract will expire at the end of this month.,My passport will ____ next month.
explore,They explored the new market.,ik-ˈsplȯr,ex-plore,타동사. 추상적 주제 가능.,"explore'는 (새로운 가능성, 방법, 장소 등을) '알아보거나' '탐색한다'는 의미의 동사입니다.\r\n We need to explore new ways to reduce our operating costs.",Let’s ____ the cave carefully during the tour.
expose,The report exposed the company to criticism.,ik-ˈspōz,ex-pose,to + 대상. 수동형 자주.,"expose'는 (위험/유해한 것에) '노출시키다'는 의미, 혹은 (새로운 경험/지식 등을) '접하게 한다'는 의미의 동사입니다.\r\n Working on this project will expose you to new management techniques.",Do not ____ sensitive data to the public.
extend,We extended the deadline. / The road extends to the coast.,ik-ˈstend,ex-tend,타/자동 모두 가능.,"extend'는 (마감 기한, 계약 기간 등을) '더 길게' 만들거나 '연장한다'는 의미의 동사입니다.\r\n The manager agreed to extend the deadline for the report.",We will ____ the deadline by two weeks.
