word,meaning,pronunciation,syllables,partOfSpeech,example,sentence
discontinue,They discontinued the service.,ˌdis-kən-ˈtin-(ˌ)yü,dis-con-tin-ue,타동사. 수동형 가능.,discontinue'는 (제품의 생산이나 서비스의 제공을) 영구적으로 '중단한다'는 의미의 동사입니다.\r\n Production of the model TX-100 will be discontinued next month.,They decided to ____ the old project.
discuss,Let’s discuss the issue.,di-ˈskəs,dis-cuss,타동사. 전치사 about 사용하지 않음.,discuss'는 (어떤 주제에 대해) 공식적으로 '이야기를 나누거나' '논의한다'는 의미의 동사입니다.\r\n We will discuss the budget proposal at the next meeting.,Let’s ____ this topic after lunch.
dispose,Please dispose of waste properly.,di-ˈspōz,dis-pose,자동사 + of. 수동형 불가.,dispose'는 (주로 'dispose of' 형태로) (쓰레기나 불필요한 것을) '처리하거나' '버린다'는 의미의 동사입니다.\r\n Please dispose of all waste materials in the proper containers.,You must ____ of waste properly.
disregard,He disregarded the warning.,ˌdis-ri-ˈgärd,dis-re-gard,타동사. ignore와 유사.,"disregard'는 (중요한 경고, 조언, 사실 등을) '신경 쓰지 않거나' '무시한다'는 의미의 동사입니다.\r\n Do not disregard the safety warnings on the equipment.",He chose to ____ the warning signs.
distribute,They distributed leaflets to visitors.,di-ˈstri-byüt,dis-trib-ute,4형식 구조. 수동형 자주 사용.,"distribute'는 (문서, 물품 등을) 여러 사람에게 나누어 주거나 '배포한다'는 의미의 동사입니다.\r\n The memos were distributed to all department heads.",We will ____ flyers to all customers.
disturb,The noise disturbed the students.,di-ˈstərb,dis-turb,타동사. 감정 목적어 자주.,"disturb'는 (다른 사람의 일, 휴식, 집중 등을) '방해하거나' '지장을 준다'는 의미의 동사입니다.\r\n We apologize for any inconvenience caused by the construction noise and ask you not to disturb the workers.",Don’t ____ the sleeping baby.
divide,We divided the class into groups.,də-ˈvīd,di-vide,타동사. into + 부분 구조.,"divide'는 (일, 물건, 공간 등을) '두 개 이상의 부분이나 그룹으로' '나눈다'는 의미의 동사입니다.\r\n The tasks for the project were divided among the team members.",Let’s ____ the work among team members.
do,I’ll do my best.,ˈdü,do,타동사. 다양한 목적어와 함께.,"do'는 (어떤 행동, 임무, 비즈니스 등을) '수행'하거나 '한다'는 의미의 동사입니다.\r\n We are happy to do business with such a reliable partner.","We have much to ____, so let’s start now."
donate,She donated money to charity.,ˈdō-ˌnāt,do-nate,목적어 + to + 대상 구조.,donate'는 (특히 자선 단체나 공익을 위해) 돈이나 물품을 '기부'하거나 '기증한다'는 의미의 동사입니다.\r\n The company will donate a portion of its profits to charity.,They will ____ food and clothes to charity.
double,Sales doubled last year. / They doubled production.,ˈdə-bəl,dou-ble,자동·타동 모두 가능.,"double'은 (수량이나 크기가) '두 배의'라는 의미의 형용사, 또는 '두 배로 만들거나 두 배가 되다'는 의미의 동사입니다.\r\n The company's profits have doubled since last year.",Profits may ____ by next quarter.
draw,He drew water from the well.,ˈdrȯ,draw,타동사. from + 출처 구조 자주.,"draw'는 (관심, 주의, 결론 등을) '끌어당기다'는 의미, 혹은 '그림을 그리다'는 의미의 동사입니다.\r\n The new advertisement campaign aims to draw customer attention.",Let’s ____ a chart to show the results.
drop,She dropped her bag. / Sales dropped by 10%.,ˈdräp,drop,타/자동사 모두 가능.,"drop'은 (액체) '방울'이라는 뜻도 있지만, (가치, 수량, 온도의) '감소'나 '하락'을 의미하는 명사로도 자주 쓰입니다 drop by는 잠깐 들르다.\r\n We have seen a significant drop in customer complaints.",He will ____ by later to pick up the forms.
