word,meaning,pronunciation,syllables,partOfSpeech,example,sentence
lane,차선; 좁은 길,/leɪn/,l-an-e,noun,"'lane'은 도로에서 차들이 다니도록 구분해 놓은 '차선'이라는 의미와, 수영장의 '레인', 볼링장의 '레인' 등 좁고 긴 통로를 의미합니다.",All staff must ____ to the new safety regulations.
laptop,노트북 컴퓨터,/ˈlæp.tɒp/,l-apt-op,noun,"'laptop'은 휴대하기 편리한 개인용 컴퓨터, 즉 '노트북'을 의미합니다.",All staff must ____ to the new safety regulations.
lately,최근에,/ˈleɪt.li/,l-at-el-y,adverb,"'lately'는 '요즘', '최근에'라는 의미를 가진 부사로, 현재를 포함하여 그리 멀지 않은 과거부터 지금까지의 기간을 나타냅니다. 'recently'와 유사한 의미입니다.",All staff must ____ to the new safety regulations.
laundry,세탁물; 세탁,/ˈlɑn.dɹi/,l-aundr-y,noun,"'laundry'는 빨아야 할 옷이나 이미 빤 옷, 즉 '세탁물'을 의미하는 셀 수 없는 명사이며, '빨래하는 행위' 자체를 뜻하기도 합니다. (do the laundry - 빨래하다)",All staff must ____ to the new safety regulations.
lawn,잔디밭,/lɔːn/,l-awn,noun,"'lawn'은 집 앞마당이나 공원 등에서 짧게 깎아 잘 관리된 풀밭, 즉 '잔디밭'을 의미합니다.",All staff must ____ to the new safety regulations.
layoff,일시 해고,,l-ayoff,noun,'layoff'는 주로 회사의 경영 사정이 좋지 않아 어쩔 수 없이 직원을 줄이는 '정리 해고' 또는 '일시 해고'를 의미합니다.,All staff must ____ to the new safety regulations.
layout,"(책·건물 등의) 레이아웃, 배치",/ˈleɪ.aʊt/,l-ayout,noun,"'layout'은 책, 잡지, 웹사이트 등에서 글과 그림을 배열하는 방식인 '레이아웃'이나, 건물이나 공간의 '구조', '배치'를 의미합니다.",All staff must ____ to the new safety regulations.
leak,(액체·가스가) 새다; (비밀이) 유출되다,/liːk/,l-eak,verb,"'leak'는 액체나 가스가 용기의 틈으로 '새어 나오다'는 물리적인 의미와, 비밀 정보가 외부로 '새나가다', '유출되다'는 추상적인 의미로 모두 사용됩니다.",All staff must ____ to the new safety regulations.
lease,임대차 계약,/liːs/,l-eas-e,noun,"'lease'는 집, 건물, 토지, 장비 등을 일정 기간 동안 사용료를 내고 빌리기로 하는 법적 '임대차 계약'을 의미합니다.",All staff must ____ to the new safety regulations.
lecturer,"강사, 강연자",/ˈlɛktʃəɹə/,l-ect-ur-er,noun,"'lecturer'는 대학에서 강의를 하는 '강사'나, 특정 주제에 대해 대중 앞에서 강연하는 '강연자'를 의미합니다.",All staff must ____ to the new safety regulations.
leisure,여가 시간,/ˈliːʒə(ɹ)/,l-eis-ur-e,noun,"'leisure'는 일이나 의무로부터 벗어나 자유롭게 쉴 수 있는 시간, 즉 '여가'를 의미합니다. (예: leisure activities - 여가 활동)",All staff must ____ to the new safety regulations.
lengthy,"너무 긴, 장황한",,l-ength-y,adjective,"'lengthy'는 시간이나 과정이 보통보다 훨씬 '오래 걸리는' 또는 '장황한'이라는 의미로, 종종 지루하다는 부정적인 뉘앙스를 포함합니다.",All staff must ____ to the new safety regulations.
letterhead,레터헤드 (편지지에 인쇄된 회사·기관의 이름과 주소),,l-ett-erh-ead,noun,"'letterhead'는 공식적인 편지 용지의 맨 위에 인쇄된 회사, 기관, 또는 개인의 이름, 로고, 주소 등을 의미합니다.",All staff must ____ to the new safety regulations.
librarian,사서,/laɪˈbɹɛɹ.i.ən/,l-ibr-ar-ian,noun,"'librarian'은 도서관에서 책을 관리하고 이용자들을 돕는 전문 직원, 즉 '사서'를 의미합니다.",All staff must ____ to the new safety regulations.
lifeguard,인명 구조원,,l-if-eg-uard,noun,"'lifeguard'는 수영장이나 해변에서 사람들의 안전을 지키고 위험한 상황이 발생했을 때 구조하는 사람, 즉 '안전 요원'이나 '인명 구조원'을 의미합니다.",All staff must ____ to the new safety regulations.
lifestyle,생활 방식,/ˈlaɪfˌstaɪl/,l-if-est-yl-e,noun,"'lifestyle'은 특정 개인이나 집단이 살아가는 전반적인 방식, 즉 가치관, 태도, 소비 습관 등을 포함하는 '생활 방식'을 의미합니다.",All staff must ____ to the new safety regulations.
lifetime,"평생, 일생",/ˈlaɪftaɪm/,l-if-et-im-e,noun,"'lifetime'은 한 사람이나 사물이 존재하고 활동하는 전체 기간, 즉 '평생'이나 '일생'을 의미합니다.",All staff must ____ to the new safety regulations.
lighter,라이터,/ˈlaɪtə/,l-ight-er,noun,"'lighter'는 담배 등에 불을 붙이는 작은 휴대용 기구, 즉 '라이터'를 의미합니다. 형용사 'light'의 비교급인 '더 가벼운' 또는 '더 밝은'이라는 뜻과 구분해야 합니다.",All staff must ____ to the new safety regulations.
lightweight,가벼운; 경량급의,,l-ightw-eight,adjective,"'lightweight'는 무게가 '가벼운'이라는 물리적인 의미와, 비유적으로 내용이 '진지하지 않은', '경박한'이라는 의미로 사용됩니다. 권투 등에서는 '경량급'을 의미합니다.",All staff must ____ to the new safety regulations.
likewise,마찬가지로,/ˈlaɪkˌwaɪz/,l-ik-ew-is-e,adverb,"'likewise'는 앞에서 언급한 내용과 '마찬가지로' 또는 '똑같이'라는 의미로, 두 문장이나 아이디어를 연결하는 부사입니다.",All staff must ____ to the new safety regulations.
liter,리터,/ˈliː.tə/,l-it-er,noun,"'liter'는 액체의 부피를 재는 기본 단위로, 1000밀리리터(ml)에 해당하는 '리터(L)'를 의미합니다.",All staff must ____ to the new safety regulations.
